SWG Database," 1"," 10"," 11"," 12"," 13"," 14"," 15"," 16"," 17"," 18"," 19"," 2"," 20"," 21"," 3"," 5"," 6"," 7"," 8"," 9",Lead's Remark
,,,,,,,,,,,,,,,,,,,,,
14/12/2023,Worker salary,,,,,,,,,,,5 534,,,25,5313624,,,,,3
,,,,,,,,,,,,,,,,,,,,,
SALARY HISTORY,,,,,,WORK HISTORY OUTSIDE JOYSTREAM,,,,,,,,,,,,WORK HISTORY IN JOYSTREAM,,,
,,,,,,,,,,,,,,,,,,,,,
29/11/2023,Worker salary,,,,,,,,,,,6 450,,,24,5097623,,,,,3
13/1/2024,Worker Salary,,,,,,,,,,,5 574,,,27,5745626,,,,,
,,,,,,,,,,,,,,,,,,,,,
29/12/2023,Worker salary,,,,,,,,,,,5 469,,,26,5529625,,,,,3
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
DATE,REASON,JOB DESCRIPTION,WORK SCHEDULE (DAYS/TIME ACTIVE),URL LINK,,CURRENT/PAST POSITION(S),DATE HIRED/FIRED,COMPANY/PROJECT,JOB DESCRIPTION,URL LINK,AMOUNT,"AMOUNT, JOY",TERM,URL LINK,TERM,BLOCK,,CURRENT/PAST POSITION(S) IN WG,DATE HIRED/FIRED,TERM,
,,,,,,,,,,,,,,,,,,,,,
16/10/2023,Hired as DWG Operator (Lower Stake),https://pioneerapp.xyz/#/working-groups/openings/distribution-17,,,,,,,,,,,,,21,4467990,,DWG Operator (Lower Stake),16/10/2023,21,
30/10/2023,8 928.57,,,,,,,,,,,,,,22,4708997,,,,,
15/11/2023,8 620.69,,,,,,,,,,,,,,23,4881653,,,,,3
