MWG Database," 1"," 2"," 3"," 5",Lead's Remark," 6"," 7"," 8"," 9"," 10"," 11"," 13"," 14"," 15"," 16"," 17"," 18"," 19"," 20"," 21"
SALARY HISTORY,,,,,,,WORK HISTORY IN JOYSTREAM,,,,,,WORK HISTORY OUTSIDE JOYSTREAM,,,,,,,
DATE,REASON,"AMOUNT, JOY",TERM,BLOCK,,,CURRENT/PAST POSITION(S) IN WG,DATE HIRED/FIRED,TERM,JOB DESCRIPTION,WORK SCHEDULE (DAYS/TIME ACTIVE),,CURRENT/PAST POSITION(S),DATE HIRED/FIRED,COMPANY/PROJECT,JOB DESCRIPTION,URL LINK,AMOUNT,TERM,URL LINK
04/10/2023,"Hired as Graphic Designer ",0,20,4297279,,,Graphic Designer/Graphic Designer,22/04/2023,09,"Worked before on position Graphic Designer ",,,,,,,,,,
30/09/2023,Worker Salary,5 300,20,4233619,,,,,,,,,,,,,,,,
15/10/2023,Worker Salary,8 044,21,4449620,,,,,,,,,,,,,,,,
30/10/2023,Worker Salary,8 044,22,4665621,,,,,,,,,,,,,,,,
15/11/2023,Worker Salary,3 218,23,4881622,0,,,,,,,,,,,,,,,
30/11/2023,Worker Salary,6 703,24,5097623,5,,,,,,,,,,,,,,,
14/12/2023,Worker Salary,8 379,25,5313624,4,,,,,,,,,,,,,,,
29/12/2023,Worker Salary,8 379,26,5529625,2,,,,,,,,,,,,,,,
