MWG Database," 1"," 10"," 11"," 13"," 14"," 15"," 16"," 17"," 18"," 19"," 2"," 20"," 21"," 3"," 5"," 6"," 7"," 8"," 9"
DATE,REASON,JOB DESCRIPTION,WORK SCHEDULE (DAYS/TIME ACTIVE),,CURRENT/PAST POSITION(S),DATE HIRED/FIRED,COMPANY/PROJECT,JOB DESCRIPTION,URL LINK,AMOUNT,"AMOUNT, JOY",TERM,URL LINK,TERM,BLOCK,,CURRENT/PAST POSITION(S) IN WG,DATE HIRED/FIRED,TERM
SALARY HISTORY,,,,,WORK HISTORY OUTSIDE JOYSTREAM,,,,,,,,,,,,WORK HISTORY IN JOYSTREAM,,
16/08/2023,Worker Salary,,,,,,,,,,4 000,,,17,3585616,,,,
15.09 -30.09,worker salary,,,,,,,,,,"4 000 ",,,19,4017618,,,,
3.09 - 10.09,worker salary,,,,,,,,,,"4 000 ",,,18,3857114,,,,
30/09/2023,Worker Salary,,,,,,,,,,2 500,,,20,4233619,,,,
27.08 - 03.09,worker salary,,,,,,,,,,4 000,,,18,3857114,,,,
18/08/2023,Hired as Outreach Specialist,,,,,,,,,,,,,17,3622028,,Outreach Specialist,18/08/2023,17
15/10/2023,Worker Salary,,,,,,,,,,2 000,,,21,4661209,,,,
30/10/2023,Worker Salary,,,,,,,,,,3 000,,,22,4760139,,,,
