Title,Utilization,bags,dataObjectsCount,dataObjectsSize,"dataObjectsSize, GB",dataObjectsSizeLimit,id
,0%,0,0,0,0,2000000000000,4
,0%,0,0,0,0,1500000000000,15
,0%,0,0,0,0,1500000000000,12
,0%,1,2,13226270,0,1500000000000,13
,0%,1,40,264524788,0,2000000000000,0
,68%,667,15502,949442007466,883,1400000000000,2
,47%,663,15490,949417288447,883,2000000000000,1
,63%,674,15578,949944604094,884,1500000000000,14
,0%,1,2,13226270,0,1500000000000,11
,63%,667,15502,949442007466,883,1500000000000,8
,0%,1,12,2580456339,2,1000000000000,9
,0%,1,2,13226270,0,1500000000000,10
,47%,667,15502,949442007466,883,2000000000000,6
,68%,667,15502,949442007466,883,1400000000000,3
